2,39,3,38,4,37,6,35,7,34,9,32,10,31,11,30,15,26,16,25
2,39,3,38,4,37,6,35,7,34,9,32,10,31,15,26,16,25,17,24
2,39,3,38,5,36,6,35,7,34,9,32,10,31,15,26,16,25,17,24
1,40,2,39,3,38,5,36,7,34,10,31,13,28,15,26,16,25,17,24
2,39,3,38,5,36,7,34,9,32,10,31,13,28,15,26,16,25,17,24
1,40,2,39,3,38,5,36,8,33,12,29,13,28,16,25,17,24,19,22
1,40,2,39,3,38,5,36,8,33,13,28,15,26,16,25,17,24,19,22
1,40,2,39,3,38,5,36,10,31,13,28,15,26,16,25,17,24,19,22
1,40,3,38,5,36,8,33,12,29,13,28,16,25,17,24,18,23,19,22
1,40,5,36,8,33,12,29,13,28,14,27,16,25,17,24,18,23,19,22
2,39,3,38,4,37,6,35,7,34,9,32,10,31,11,30,15,26,20,21
2,39,4,37,6,35,7,34,9,32,10,31,11,30,14,27,15,26,20,21
4,37,6,35,7,34,8,33,9,32,11,30,12,29,14,27,18,23,20,21
4,37,6,35,7,34,9,32,10,31,11,30,12,29,14,27,18,23,20,21
4,37,6,35,7,34,9,32,10,31,11,30,14,27,15,26,18,23,20,21
1,40,4,37,6,35,8,33,11,30,12,29,14,27,18,23,19,22,20,21
4,37,6,35,8,33,9,32,11,30,12,29,14,27,18,23,19,22,20,21
1,40,4,37,8,33,11,30,12,29,13,28,14,27,18,23,19,22,20,21
1,40,5,36,8,33,11,30,12,29,13,28,14,27,18,23,19,22,20,21
1,40,5,36,8,33,12,29,13,28,14,27,17,24,18,23,19,22,20,21
